DeFi Application,Address,Chain
Unbound,0x8db253a1943dddf1af9bcf8706ac9a0ce939d922,ETH
OnX Finance,0xE0aD1806Fd3E7edF6FF52Fdb822432e847411033,ETH
Metavault DAO,0x788B6D2B37Aa51D916F2837Ae25b05f0e61339d1,ETH
Sculptor Finance,0xAd3E02e83b886543D1171FF446C130D52068C106,BSC
Gaj Finance,0xf4b0903774532aee5ee567c02aab681a81539e92,Polygon
Bunny,0xc9849e6fdb743d08faee3e34dd2d1bc69ea11a51,BSC
OpenLeverage,0x92cfbec26c206c90aee3b7c66a9ae673754fab7e,ETH
KawaiiSwap,0x9e236b43D779B385c3279820e322ABAE249D3405,BSC
PearZap,0xdf7c18ed59ea738070e665ac3f5c258dcc2fbad8,BSC
FutureSwap,0x0e192d382a36de7011f795acc4391cd302003606,ETH
LuckyChip,0x6012c3a742f92103d238f1c8306cf8fbcdeca8b3,BSC
Nsure,0x20945ca1df56d237fd40036d47e866c7dccd2114,ETH
ApeX Protocol,0x52a8845df664d76c69d2eea607cd793565af42b8,ETH
KillSwitch,0x270178366a592ba598c2e9d2971da65f7baa7c86,BSC
StakeWise,0x48c3399719b582dd63eb5aadf12a40b4c3f52fa2,ETH
Summit Defi,0x8f9bccb6dd999148da1808ac290f2274b13d7994,Fantom
Governor DAO,0x515d7E9D75E2b76DB60F8a051Cd890eBa23286Bc,ETH
Deri Protocol,0xe60eaf5A997DFAe83739e035b005A33AfdCc6df5,BSC
H2Odata,0xa5b947687163fe88c3e6af5b17ae69896f4abccf,ETH
GoodDollar,0x67C5870b4A41D4Ebef24d2456547A03F1f3e094B,ETH
ICHI Farm,0x903bef1736cddf2a537176cf3c64579c3867a881,ETH
Concentrator,0xb3Ad645dB386D7F6D753B2b9C3F4B853DA6890B8,ETH
APWine,0x4104b135dbc9609fc1a9490e61369036497660c8,ETH
PieDAO,0xad32A8e6220741182940c5aBF610bDE99E737b2D,ETH
WOWswap,0x4DA996C5Fe84755C80e108cf96Fe705174c5e36A,BSC
Tranche Finance,0x0aee8703d34dd9ae107386d3eff22ae75dd616d1,ETH
MoonLift,0x9d7c580e0bc4ea441db96eebc7e1440d264bce51,BSC
NewDex,0x996f56299a5b7c4f825a44886e07dafc4660b794,BSC
Aladdin DAO,0xb26C4B3Ca601136Daf98593feAeff9E0CA702a8D,ETH
Syrup Finance,0xDeF49c195099E30E41B2df7dAd55E0BbBe60A0C5,BSC
Redacted Protocol,0xc55126051B22eBb829D00368f4B12Bde432de5Da,ETH
Yoshi Exchange,0x3dc57B391262e3aAe37a08D91241f9bA9d58b570,Fantom
Orion Protocol,0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a,ETH
Alkemi,0x6C16119B20fa52600230F074b349dA3cb861a7e3,ETH
Potluck Protocol,0x49894fcc07233957c35462cfc3418ef0cc26129f,Fantom
CashCow Protocol,0xe5bd6c5b1c2df8f499847a545838c09e45f4a262,BSC
Penrose,0x9008d70a5282a936552593f410abcbce2f891a97,Polygon
zLot,0xA8e7AD77C60eE6f30BaC54E2E7c0617Bd7B5A03E,ETH
ChickenSwap,0xE63684BcF2987892CEfB4caA79BD21b34e98A291,ETH
Bitindi Staking,0x77fc65dedA64f0CCA9e3aEa7b9D8521f4151882e,BSC
xSigma,0x7777777777697cfeecf846a76326da79cc606517,ETH
Unilend,0x0202be363b8a4820f3f4de7faf5224ff05943ab1,ETH
Lido,0x5a98fcbea516cf06857215779fd812ca3bef1b32,ETH
S Finance,0x8a6ACA71A218301c7081d4e96D64292D3B275ce0,ETH
Annex,0x98936Bde1CF1BFf1e7a8012Cee5e2583851f2067,BSC
Basis Cash,0x3449fc1cd036255ba1eb19d65ff4ba2b8903a69a,ETH
TopShelf,0x33333ee26a7d02e41c33828B42Fb1E0889143477,Fantom
Hectagon,0x343915085b919fbd4414F7046f903d194c6F60EE,BSC
Beefy,0xca3f508b8e4dd382ee878a314789373d80a5190a,BSC
DeFiner,0x054f76beed60ab6dbeb23502178c52d6c5debe40,ETH
Wisteria Swap,0xaadff17d56d80312b392ced903f3e8dbe5c3ece7,BSC
Gro,0x3ec8798b81485a254928b70cda1cf0a2bb0b74d7,ETH
MakerDAO,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,ETH
Mars Poolin,0x66C0DDEd8433c9EA86C8cf91237B14e10b4d70B7,ETH
Mover,0x3fa729b4548becbad4eab6ef18413470e6d5324c,ETH
Crystl Finance,0x76bF0C28e604CC3fE9967c83b3C3F31c213cfE64,Polygon
Iron Bank,0x00a35FD824c717879BF370E70AC6868b95870Dfb,Fantom
BabySwap,0x53e562b9b7e5e94b81f10e96ee70ad06df3d2657,BSC
Siren,0xD23Ac27148aF6A2f339BD82D0e3CFF380b5093de,ETH
DDDX,0x4B6ee8188d6Df169E1071a7c96929640D61f144f,BSC
Antex,0xca1acab14e85f30996ac83c64ff93ded7586977c,BSC
MiniPanther DAO,0x3264810174f577F82DDD4FD08818F368AC363505,Fantom
BloXmove,0x38d9eb07a7b8df7d86f440a4a5c4a4c1a27e1a08,ETH
MCDEX,0x4e352cf164e64adcbad318c3a1e222e9eba4ce42,ETH
Helio Protocol,0x0782b6d8c4551B9760e74c0545a9bCD90bdc41E5,BSC
